Comment,Description,Designator,Footprint,LibRef,Quantity

"10000 pF","CAP CER 10000PF 100V C0GNP0 0805","C1, C2, C3, C4","CAP 0805_2012","GRM2165C2A103JA01D","4"
"1nF/2kV","CAP CER 1000PF 2KV X7R 1206","C5, C9, C10, C65","CAP 1206_3216 - 0.8MM","1206B102K202NT","4"
"0.1µF","CAP CER 0.1UF 100V X7R 0805","C6, C7, C8, C25","CAP 0805_2012","08051C104KAT2A","4"
"22 µF","CAP ALUM 22UF 20% 63V SMD","C11","FP-FKE-MFG","CMP-05427-002164-1","1"
"2.2 µF","CAP CER 2.2UF 100V X7R 1210","C12, C13","CAP 1210_3225 - 1MM","CL32B225KCJSNNE","2"
"0.047 µF","CAP CER 0.047UF 250V X7R 1206","C14","CAP 1206_3216 - 0.8MM","C3216X7R2E473K160AA","1"
"100 µF","Capacitor,Alum Electrolytic,Cap 100 uF,Tol 20%,Vol-Rtg 25 VDC,SMT,8x10.2,TR | Panasonic Electronic Components EEE-FC1E101P","C15","CAP_EEEFC1E101P","EEEFC1E101P","1"
"10µF","CAP CER 10UF 25V X7R 1210","C16, C17","CAP 1210_3225 - 2.8MM","12103C106K4T2A","2"
"1 µF","CAP CER 1UF 25V X7R 0805","C18, C24, C54, C55, C64","CAP 0805_2012","C2012X7R1E105K125AB","5"
"100 pF","CAP CER 100PF 50V NP0 0603","C19, C22","CAP 0603_1608","C1608C0G1H101J080AE","2"
"22 µF","CAP CER 22UF 25V X7R 1210","C20","CAP 1210_3225 - 1MM","CL32B226KAJNNWE","1"
"10000 pF","CAP CER 10000PF 50V X7R 0603","C21, C46, C48, C53","CAP 0603_1608","C1608X7R1H103K080AE","4"
"0.022 µF","CAP CER 0.022UF 50V X7R 0603","C23, C38, C47","CAP 0603_1608","C1608X7R1H223K080AE","3"
"1µF","CAP CER 1UF 25V X7R 0805","C26","CAP 0805_2012","08053C105MAT4A","1"
"0.1 µF","CAP CER 0.1UF 10V X7R 0603, CAP CER 0.1UF 50V X7R 0603","C27, C32, C39, C40, C41, C42, C43, C44, C45, C59, C63","CAP 0603_1608","C0603C104K8RAC7867, C1608X7R1H104K080AE","11"
"10 µF","CAP CER 10UF 16V X7R 0805, CAP CER 10UF 6.3V X7R 0805","C28, C29, C33, C34, C57, C58, C61, C62","CAP 0805_2012","CL21B106KOQNNNE, CGA4J1X7R0J106K125AC","8"
"22 µF","CAP CER 22UF 10V X7R 1206","C30, C31, C35, C36","CAP 1206_3216 - 0.8MM","CL31B226KPHNNNE","4"
"22 µF","CAP CER 22UF 6.3V X5R 0603","C37","MURATA GRM188 0603_1608","GRM186R60J226ME15D","1"
"8.2 pF","CAP CER 8.2PF 50V C0G/NP0 0603","C49, C50","CAP 0603_1608","C0603C829B5GACAUTO","2"
"100 µF","CAP TANT 100UF 20% 6.3V 1411","C51, C56, C60","CAP POL 1411_3528","T494B107M006AT","3"
"4.7 µF","CAP CER 4.7UF 10V X5R 0603","C52","CAP 0603_1608","CM105X5R475K10AT","1"
"CDSOT23-SM712","TVS DIODE 7V/12V 14V/26V SOT23-3","D1, D2","FP-SOT23-MFG","CMP-2000-05081-2","2"
"SMBJ58CA","TVS DIODE 58VWM 93.6VC DO214AA","D3","DO214AA SMB","SMBJ58CA","1"
"MMSD4148T1G","Switching Diode, 2-Pin SOD-123, Pb-Free, Tape and Reel","D4, D5, D7, D9, D10","ONSC-SOD-123-2-425-04_V","CMP-0895-00001-2","5"
"MMSZ5240B-7-F","DIODE ZENER 10V 500MW SOD123","D6, D8","SOD-123","MMSZ5240B-7-F","2"
"BAT54S-7-F","Schottky Diode 2xSeries 200mA 30V SOT23 Diodes Inc BAT54S-7-F, Dual SMT Schottky Switching Diode, Series, 30V 200mA, 5ns, 3-Pin SOT-23","D11","SOT96P240X115-3N","BAT54S-7-F","1"
"GG0402052R542P","Description","D12, D13","TVS_GG0402_KAV","GG0402052R542P","2"
"BAS70","DIODE SCHOTTKY 70V 100MA SOD523","D14, D15, D17, D18","SOD-523","BAS70-02V-V-G-08","4"
"USBLC6-2SC6","TVS DIODE 5.25V 17V SOT666","D16","FP-SOT-666-MFG","CMP-12225-000058-1","1"
"MJT-88ARX1-FSM-PG-LH","","J1","MTJ88ARX1FSMPGLG","MTJ-88ARX1-FSM-PG-LH","1"
"DX07S016JA1R1500","CONN RCP USB2.0 TYP C 24P SMD RA","J2","FP-DX07S016JA1R1500-MFG","CMP-19038-000003-1","1"
"B4B-PH-K-S(LF)(SN)","CONN HEADER VERT 4POS 2MM","J3, J4, J5, J6","JST B4B-PH-K","B4B-PH-K-S(LF)(SN)","4"
"P0351NLT","COMMON MODE CHOKE 2.8A 2LN SMD","L1","FP-P0351NLT-MFG","CMP-16296-000003-1","1"
"MSS5131-332MLC","Fixed Inductors 33uH Shld 20% 2.9A 28mOhms AECQ2","L2","MSS5131332MLC","MSS5131-332MLC","1"
"MSS1278-223MLB","Fixed Inductors MSS1278 AEC-Q200 22 uH 20% 4A Ferrite","L3","INDPM120120X805N","MSS1278-223MLB","1"
"LPS6235-155MRC","LPS6235-155MRC Power inductor, shielded, 20% tol, SMT, RoHS, lead-free, halogen-free","L4","FP-LPS6235-MFG","CMP-01768-30061421-1","1"
"DR74-3R3-R","EATON COILTRONICS - DR74-3R3-R - Power Inductor (SMD), 3.3 H, 3.94 A, Shielded, 5.4 A, DR Series, 7.6mm x 7.6mm x 4.35mm","L5","INDPM7676X435N","DR74-3R3-R","1"
"DR74-2R2-R","Fixed Inductors 2.2uH 7A 0.0126ohms","L6","INDPM7676X435N","DR74-2R2-R","1"
"BLM21PG600SN1D","Chip Ferrite Bead, 0805, 60? @ 100MHz, 0.02?, 25%, 3.5A","L7, L8, L9","FP-BLM21-0_2-t0_85-e0_5-d-IPC_A","CMP-0686-00616-3","3"
"FDMC2523P","P-Channel 150 V 3A (Tc) 42W (Tc) Surface Mount 8-MLP (3.3x3.3)","Q1","FDMC_2523P_ONS","FDMC2523P","1"
"FDS86242","100% UIL Tested; Max rDS(on) = 67 m at VGS = 10 V, ID = 4.1 A; High performance trench technology for extremely low rDS(on); Max rDS(on) = 98m at VGS = 6 V, ID = 3.3 A; RoHS Compliant; High power and current handling capability in a widely usedsurface mount package","Q2","SOIC127P600X175-8N","FDS86242","1"
"CSD19534Q5A","100V, N ch NexFET MOSFET, single SON5x6, 15.1mOhm 8-VSONP -55 to 150","Q3, Q6","TRANS_CSD19534Q5A","CSD19534Q5A","2"
"FCX493TA","Description","Q4, Q5","FCX493TA_DIO","FCX493TA","2"
"SI2301BDS-T1-GE3","SI2301BDS-T1-GE3 Trans Mosfet P-ch Si 20V 2.2A 3-PIN SOT-23 T/r / Mosfet P-ch 20V 2.2A SOT23-3","Q7","FP-S-03946-MFG","CMP-00030-42864886-1","1"
"MMUN2211LT1G","Digital Transistor (BRT), R1=10 kOhm, R2=10 kOhm, NPN Transistor, 3-Pin SOT-23, Pb-Free, Tape and Reel","Q8","ONSC-SOT-23-3-318-08_V","CMP-0630-00041-1","1"
"SBC846BPDW1T1G","Dual General Purpose Transistors, NPN / PNP (Complementary), 6-Pin SOT-363, Pb-Free, Tape and Reel","Q9","ONSC-SOT-363-6-419B-02_V","CMP-1048-00842-1","1"
"75 ?","RES SMD 75 OHM 1% 1/8W 0805","R1, R2, R3, R4","RES 0805_2012","CRCW080575R0FKEA","4"
"1 M?","RES SMD 1M OHM 1% 1/2W 0805","R5","RES 0805_2012","RCS08051M00FKEA","1"
"2 k?","RES SMD 2K OHM 5% 1/4W 1206","R6, R10","RES 1206_3216","CRCW12062K00JNEA","2"
"4.7 ?","RES SMD 4.7 OHM 5% 1/10W 0603","R7, R12","RES 0603_1608","CRCW06034R70JNEA","2"
"10 k?","RES SMD 10K OHM 1% 1/10W 0603","R8, R15, R16, R31, R33, R34, R57, R58, R59, R60, R61, R65, R66","RES 0603_1608","CRCW060310K0FKEA","13"
"2.49 k?","RES SMD 2.49K OHM 1% 1/10W 0603","R9","RES 0603_1608","CRCW06032K49FKEA","1"
"100 m?","RES 0.1 OHM 5% 1/2W 1210","R11","RES 1210_3225","RL1210JR-070R1L","1"
"0 Ohms","RES SMD 0 OHM JUMPER 1/10W 0603","R13","RES 0603_1608","ERJ-3GEY0R00V","1"
"2 k?","RES SMD 2K OHM 1% 1/10W 0603","R14, R18","RES 0603_1608","CRCW06032K00FKEA","2"
"499 ?","RES SMD 499 OHM 1% 1/10W 0603","R17","RES 0603_1608","CRCW0603499RFKEA","1"
"1 k?","RES SMD 1K OHM 1% 1/10W 0603","R19, R35, R49, R50, R51, R62","RES 0603_1608","CRCW06031K00FKEA","6"
"2.61 kOhms","RES SMD 2.61K OHM 1% 1/10W 0603","R20","RES 0603_1608","CRCW06032K61FKEA","1"
"24.9 k?","RES 24.9K OHM 1% 1/8W 0603","R21, R29","RES 0603_1608","RNCP0603FTD24K9","2"
"100 k?","RES SMD 100K OHM 1% 1/4W 0603","R22, R26, R27","RES 0603_1608","RCS0603100KFKEA","3"
"69.8 k?","RES 69.8K OHM 1% 1/10W 0603","R23","RES 0603_1608","RMCF0603FT69K8","1"
"4.64 k?","RES 4.64K OHM 1% 1/10W 0603","R24","YAGEO RES 0603_1608","RC0603FR-074K64L","1"
"40.2 k?","RES 40.2K OHM 1% 1/10W 0603","R25","YAGEO RES 0603_1608","RC0603FR-0740K2L","1"
"63.4 ?","RES 63.4 OHM 1% 1/8W 0603","R28","KOA RES RK73 RN73 0603_1608","RK73H1JTTD63R4F","1"
"56.2 k?","RES SMD 56.2K OHM 1% 1/10W 0603","R30","RES 0603_1608","CRCW060356K2FKEA","1"
"33.2 k?","RES SMD 33.2K OHM 1% 1/10W 0603","R32","RES 0603_1608","CRCW060333K2FKEA","1"
"330 ?","RES SMD 330 OHM 1% 1/10W 0603","R36, R40","RES 0603_1608","CRCW0603330RFKEA","2"
"0 ?","RES SMD 0 OHM JUMPER 1/10W 0603","R37, R38, R39, R41, R46, R47, R55, R67, R68","RES 0603_1608","ERJ-3GEY0R00V","9"
"10 ?","RES SMD 10 OHM 1% 1/10W 0603","R42","RES 0603_1608","CRCW060310R0FKEA","1"
"49.9 ?","RES SMD 49.9 OHM 1% 1/10W 0603","R43, R44, R52, R53","RES 0603_1608","CRCW060349R9FKEA","4"
"33 ?","RES 33 OHM 1% 1/10W 0603","R45","RES 0603_1608","RMCF0603FT33R0","1"
"YC124-FR-0733RL","RES ARRAY 4 RES 33 OHM 0804","R48","RESNET 0804-8 CONVEX","YC124-FR-0733RL","1"
"1 M?","RES SMD 1M OHM 1% 1/10W 0603","R54","RES 0603_1608","CRCW06031M00FKEA","1"
"12.4 k?","RES SMD 12.4K OHM 1% 1/10W 0603","R56","RES 0603_1608","CRCW060312K4FKEA","1"
"5.1 k?","RES SMD 5.1K OHM 1% 1/10W 0603","R63, R64","RES 0603_1608","CRCW06035K10FKEA","2"
"22.1 k?","RES SMD 22.1K OHM 1% 1/10W 0603","R69","RES 0603_1608","CRCW060322K1FKEA","1"
"47.5 k?","RES SMD 47.5K OHM 1% 1/10W 0603","R70","RES 0603_1608","CRCW060347K5FKEA","1"
"FSM4JSMA","SWITCH TACTILE SPST-NO 0.05A 24V","S1, S2","TE FSM4JSMA","FSM4JSMA","2"
"PA4065NL","Switching Transformer 1.58:1:1 0.075Ohm/0.41Ohm Prim. DCR 0.04Ohm Sec. DCR 10Term. Gull Wing SMD","T1","PA4065NL","PA4065NL","1"
"HX1188NLT","XFRMR MAGNETIC 1PORT 1:1 10/100","U1","FP-HX1188NLT-MFG","CMP-2000-06432-2","1"
"ESDS314DBVR","FAMILY OF UNI-DIRECTIONAL SURGE","U2","FP-DBV0005A-IPC_A","CMP-04985-000014-1","1"
"PD70224ILQ-TR","","U3","PD70224ILQTR","PD70224ILQ-TR","1"
"HMHA2801A","Optoisolator Transistor Output 3750Vrms 1 Channel 4-Mini-Flat","U4","SOIC127P680X239-4N","HMHA2801A","1"
"TPS23754PWP","High Power / High Efficiency PoE Interface and DC / DC Controller, -40 to 125 degC, 20-pin SOP (PW20), Green (RoHS & no Sb/Br)","U5","PWP0020D_M","CMP-0390-00071-2","1"
"TL431AIDBVT","Adjustable Precision Shunt Regulator, 34 ppm / degC, 100 mA, -40 to 85 degC, 5-pin SOT-23 (DBV), Green (RoHS & no Sb/Br)","U6","DBV0005A_N","CMP-0366-00617-2","1"
"PC357N4J000F","Transistor Output Optocouplers 300-600% CTR ranked PC357NJ0000F","U7","SOP254P675X300-4N","PC357N4J000F","1"
"TPS563201DDCT","IC REG BUCK ADJ 3A TSOT23-6","U8, U9","TI SOT-23-6 DDC","TPS563201DDCT","2"
"W5500","Hardwired TCP/IP embedded Ethernet controller","U10","QFP50P900X900X160-48N","W5500","1"
"ESP32-C6-WROOM-1U-N16","","U11","ESP32-C6-WROOM-1U","ESP32-C6-WROOM-1U-N16","1"
"CP2102N-A02-GQFN28R","IC USB TO UART BRIDGE QFN28","U12","FP-CP2102N-A02-GQFN28R-MFG","CMP-08093-000007-1","1"
"25 MHz","CRYSTAL 25.0000MHZ 8PF SMD","Y1","NDK NX2520SA","STDCSW5-25M","1"
